PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2018,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2019,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2020,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2021,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2022,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2023,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2024,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2025,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2026,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2027,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2028,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2029,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2030,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2031,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2032,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2033,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2034,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2035,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2036,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2037,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2038,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2039,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2040,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2041,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2042,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2043,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2044,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2045,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2046,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2047,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2048,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2049,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2050,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2051,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2052,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2053,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2054,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2055,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2056,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2057,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2058,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2059,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2060,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2061,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2062,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2063,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2064,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2065,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2066,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2067,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2068,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2069,All,,,,,1.0
CapacityFactor,BAU,ECU,INORG_RCY_OS,,,,2070,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2018,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2019,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2020,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2021,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2022,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2023,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2024,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2025,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2026,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2027,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2028,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2029,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2030,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2031,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2032,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2033,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2034,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2035,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2036,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2037,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2038,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2039,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2040,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2041,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2042,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2043,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2044,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2045,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2046,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2047,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2048,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2049,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2050,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2051,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2052,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2053,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2054,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2055,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2056,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2057,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2058,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2059,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2060,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2061,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2062,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2063,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2064,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2065,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2066,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2067,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2068,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2069,All,,,,,1.0
CapacityFactor,BAU,ECU,AD,,,,2070,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2018,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2019,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2020,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2021,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2022,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2023,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2024,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2025,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2026,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2027,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2028,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2029,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2030,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2031,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2032,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2033,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2034,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2035,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2036,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2037,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2038,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2039,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2040,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2041,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2042,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2043,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2044,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2045,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2046,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2047,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2048,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2049,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2050,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2051,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2052,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2053,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2054,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2055,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2056,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2057,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2058,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2059,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2060,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2061,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2062,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2063,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2064,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2065,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2066,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2067,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2068,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2069,All,,,,,1.0
CapacityFactor,BAU,ECU,COMPOST,,,,2070,All,,,,,1.0
CapacityFactor,BAU,ECU,LANDFILL,,,,2018,All,,,,,1.0
CapacityFactor,BAU,ECU,LANDFILL,,,,2019,All,,,,,1.0
CapacityFactor,BAU,ECU,LANDFILL,,,,2020,All,,,,,1.0
CapacityFactor,BAU,ECU,LANDFILL,,,,2021,All,,,,,1.0
CapacityFactor,BAU,ECU,LANDFILL,,,,2022,All,,,,,1.0
CapacityFactor,BAU,ECU,LANDFILL,,,,2023,All,,,,,1.0
CapacityFactor,BAU,ECU,LANDFILL,,,,2024,All,,,,,1.0
CapacityFactor,BAU,ECU,LANDFILL,,,,2025,All,,,,,1.0
CapacityFactor,BAU,ECU,LANDFILL,,,,2026,All,,,,,1.0
CapacityFactor,BAU,ECU,LANDFILL,,,,2027,All,,,,,1.0
CapacityFactor,BAU,ECU,LANDFILL,,,,2028,All,,,,,1.0
CapacityFactor,BAU,ECU,LANDFILL,,,,2029,All,,,,,1.0
CapacityFactor,BAU,ECU,LANDFILL,,,,2030,All,,,,,1.0
CapacityFactor,BAU,ECU,LANDFILL,,,,2031,All,,,,,1.0
CapacityFactor,BAU,ECU,LANDFILL,,,,2032,All,,,,,1.0
CapacityFactor,BAU,ECU,LANDFILL,,,,2033,All,,,,,1.0
CapacityFactor,BAU,ECU,LANDFILL,,,,2034,All,,,,,1.0
CapacityFactor,BAU,ECU,LANDFILL,,,,2035,All,,,,,1.0
CapacityFactor,BAU,ECU,LANDFILL,,,,2036,All,,,,,1.0
CapacityFactor,BAU,ECU,LANDFILL,,,,2037,All,,,,,1.0
CapacityFactor,BAU,ECU,LANDFILL,,,,2038,All,,,,,1.0
CapacityFactor,BAU,ECU,LANDFILL,,,,2039,All,,,,,1.0
CapacityFactor,BAU,ECU,LANDFILL,,,,2040,All,,,,,1.0
