PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,BAU,ECU,INORG_RCY_OS,,,,,,,,,,20
OperationalLife,BAU,ECU,AD,,,,,,,,,,20
OperationalLife,BAU,ECU,COMPOST,,,,,,,,,,20
OperationalLife,BAU,ECU,LANDFILL,,,,,,,,,,20
OperationalLife,BAU,ECU,NO_CONTR_OD,,,,,,,,,,20
OperationalLife,BAU,ECU,LANDFILL_ELEC,,,,,,,,,,100
OperationalLife,BAU,ECU,WWWOT,,,,,,,,,,100
OperationalLife,BAU,ECU,WWWT,,,,,,,,,,100
OperationalLife,BAU,ECU,WFIRU,,,,,,,,,,100
OperationalLife,BAU,ECU,OSS_INORG,,,,,,,,,,100
OperationalLife,BAU,ECU,OSS_ORG,,,,,,,,,,100
OperationalLife,BAU,ECU,NO_OSS_BLEND,,,,,,,,,,100
OperationalLife,BAU,ECU,INORG_DCOLL,,,,,,,,,,100
OperationalLife,BAU,ECU,ORG_DCOLL,,,,,,,,,,100
OperationalLife,BAU,ECU,BLEND_NO_DCOLL,,,,,,,,,,100
OperationalLife,BAU,ECU,INORG_SS,,,,,,,,,,100
OperationalLife,BAU,ECU,ORG_SS,,,,,,,,,,100
OperationalLife,BAU,ECU,NO_SS,,,,,,,,,,100
OperationalLife,BAU,ECU,SEWERWWWOT,,,,,,,,,,100
OperationalLife,BAU,ECU,SEWERWWWT,,,,,,,,,,20
OperationalLife,BAU,ECU,WWWTFIRU,,,,,,,,,,20
OperationalLife,BAU,ECU,TWWWOT,,,,,,,,,,100
OperationalLife,BAU,ECU,SEWERWW,,,,,,,,,,100
OperationalLife,BAU,ECU,STWW,,,,,,,,,,20
OperationalLife,BAU,ECU,T5TSWTSW,,,,,,,,,,100
OperationalLife,BAU,ECU,T5TWWTWW,,,,,,,,,,100
