PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2018,,,,,,5.3436477712
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2019,,,,,,5.2943645076
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2020,,,,,,5.30484929685
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2021,,,,,,5.080954911755724
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2022,,,,,,5.3869654278764845
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2023,,,,,,5.698645994064505
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2024,,,,,,6.015869995476799
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2025,,,,,,6.3385362560789815
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2026,,,,,,6.666465178180303
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2027,,,,,,6.999526655520644
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2028,,,,,,7.337557200635011
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2029,,,,,,7.680436054702309
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2030,,,,,,8.027952850050001
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2031,,,,,,8.18472824992749
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2032,,,,,,8.341647095899983
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2033,,,,,,8.498602556482505
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2034,,,,,,8.655522665719998
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2035,,,,,,8.812307225637491
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2036,,,,,,8.968880366969985
SpecifiedAnnualDemand,BAU,ECU,,E5_TSWTSW,,,2037,,,,,,9.125130216669978
