PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,DDP,ECU,INORG_RCY_OS,,,,,,,,,,1
CapacityToActivityUnit,DDP,ECU,AD,,,,,,,,,,1
CapacityToActivityUnit,DDP,ECU,COMPOST,,,,,,,,,,1
CapacityToActivityUnit,DDP,ECU,LANDFILL,,,,,,,,,,1
CapacityToActivityUnit,DDP,ECU,NO_CONTR_OD,,,,,,,,,,1
CapacityToActivityUnit,DDP,ECU,LANDFILL_ELEC,,,,,,,,,,1
CapacityToActivityUnit,DDP,ECU,WWWOT,,,,,,,,,,1
CapacityToActivityUnit,DDP,ECU,WWWT,,,,,,,,,,1
CapacityToActivityUnit,DDP,ECU,WFIRU,,,,,,,,,,1
CapacityToActivityUnit,DDP,ECU,OSS_INORG,,,,,,,,,,1
CapacityToActivityUnit,DDP,ECU,OSS_ORG,,,,,,,,,,1
CapacityToActivityUnit,DDP,ECU,NO_OSS_BLEND,,,,,,,,,,1
CapacityToActivityUnit,DDP,ECU,INORG_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,DDP,ECU,ORG_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,DDP,ECU,BLEND_NO_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,DDP,ECU,INORG_SS,,,,,,,,,,1
CapacityToActivityUnit,DDP,ECU,ORG_SS,,,,,,,,,,1
CapacityToActivityUnit,DDP,ECU,NO_SS,,,,,,,,,,1
CapacityToActivityUnit,DDP,ECU,SEWERWWWOT,,,,,,,,,,1
CapacityToActivityUnit,DDP,ECU,SEWERWWWT,,,,,,,,,,1
CapacityToActivityUnit,DDP,ECU,WWWTFIRU,,,,,,,,,,1
CapacityToActivityUnit,DDP,ECU,TWWWOT,,,,,,,,,,1
CapacityToActivityUnit,DDP,ECU,SEWERWW,,,,,,,,,,1
CapacityToActivityUnit,DDP,ECU,STWW,,,,,,,,,,1
CapacityToActivityUnit,DDP,ECU,T5TSWTSW,,,,,,,,,,1
CapacityToActivityUnit,DDP,ECU,T5TWWTWW,,,,,,,,,,1
