PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,DDP,ECU,INORG_RCY_OS,,,,,,,,,,20
OperationalLife,DDP,ECU,AD,,,,,,,,,,20
OperationalLife,DDP,ECU,COMPOST,,,,,,,,,,20
OperationalLife,DDP,ECU,LANDFILL,,,,,,,,,,20
OperationalLife,DDP,ECU,NO_CONTR_OD,,,,,,,,,,20
OperationalLife,DDP,ECU,LANDFILL_ELEC,,,,,,,,,,100
OperationalLife,DDP,ECU,WWWOT,,,,,,,,,,100
OperationalLife,DDP,ECU,WWWT,,,,,,,,,,100
OperationalLife,DDP,ECU,WFIRU,,,,,,,,,,100
OperationalLife,DDP,ECU,OSS_INORG,,,,,,,,,,100
OperationalLife,DDP,ECU,OSS_ORG,,,,,,,,,,100
OperationalLife,DDP,ECU,NO_OSS_BLEND,,,,,,,,,,100
OperationalLife,DDP,ECU,INORG_DCOLL,,,,,,,,,,100
OperationalLife,DDP,ECU,ORG_DCOLL,,,,,,,,,,100
OperationalLife,DDP,ECU,BLEND_NO_DCOLL,,,,,,,,,,100
OperationalLife,DDP,ECU,INORG_SS,,,,,,,,,,100
OperationalLife,DDP,ECU,ORG_SS,,,,,,,,,,100
OperationalLife,DDP,ECU,NO_SS,,,,,,,,,,100
OperationalLife,DDP,ECU,SEWERWWWOT,,,,,,,,,,100
OperationalLife,DDP,ECU,SEWERWWWT,,,,,,,,,,20
OperationalLife,DDP,ECU,WWWTFIRU,,,,,,,,,,20
OperationalLife,DDP,ECU,TWWWOT,,,,,,,,,,100
OperationalLife,DDP,ECU,SEWERWW,,,,,,,,,,100
OperationalLife,DDP,ECU,STWW,,,,,,,,,,20
OperationalLife,DDP,ECU,T5TSWTSW,,,,,,,,,,100
OperationalLife,DDP,ECU,T5TWWTWW,,,,,,,,,,100
