PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2018,,,,,,0.0568564122855679
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2019,,,,,,0.056332038360864
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2020,,,,,,0.056443596518484
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2021,,,,,,0.053772310298616
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2022,,,,,,0.0572199446171809
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2023,,,,,,0.0607330855587456
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2024,,,,,,0.1072974800441668
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2025,,,,,,0.1499713796384395
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2026,,,,,,0.1955108557083783
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2027,,,,,,0.2402753425544849
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2028,,,,,,0.284181212645722
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2029,,,,,,0.3271471545629513
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2030,,,,,,0.3690891100955069
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2031,,,,,,0.4177890958443855
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2032,,,,,,0.4671961865501511
