PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,DDP70,ECU,INORG_RCY_OS,,,,,,,,,,1
CapacityToActivityUnit,DDP70,ECU,AD,,,,,,,,,,1
CapacityToActivityUnit,DDP70,ECU,COMPOST,,,,,,,,,,1
CapacityToActivityUnit,DDP70,ECU,LANDFILL,,,,,,,,,,1
CapacityToActivityUnit,DDP70,ECU,NO_CONTR_OD,,,,,,,,,,1
CapacityToActivityUnit,DDP70,ECU,LANDFILL_ELEC,,,,,,,,,,1
CapacityToActivityUnit,DDP70,ECU,WWWOT,,,,,,,,,,1
CapacityToActivityUnit,DDP70,ECU,WWWT,,,,,,,,,,1
CapacityToActivityUnit,DDP70,ECU,WFIRU,,,,,,,,,,1
CapacityToActivityUnit,DDP70,ECU,OSS_INORG,,,,,,,,,,1
CapacityToActivityUnit,DDP70,ECU,OSS_ORG,,,,,,,,,,1
CapacityToActivityUnit,DDP70,ECU,NO_OSS_BLEND,,,,,,,,,,1
CapacityToActivityUnit,DDP70,ECU,INORG_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,DDP70,ECU,ORG_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,DDP70,ECU,BLEND_NO_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,DDP70,ECU,INORG_SS,,,,,,,,,,1
CapacityToActivityUnit,DDP70,ECU,ORG_SS,,,,,,,,,,1
CapacityToActivityUnit,DDP70,ECU,NO_SS,,,,,,,,,,1
CapacityToActivityUnit,DDP70,ECU,SEWERWWWOT,,,,,,,,,,1
CapacityToActivityUnit,DDP70,ECU,SEWERWWWT,,,,,,,,,,1
CapacityToActivityUnit,DDP70,ECU,WWWTFIRU,,,,,,,,,,1
CapacityToActivityUnit,DDP70,ECU,TWWWOT,,,,,,,,,,1
CapacityToActivityUnit,DDP70,ECU,SEWERWW,,,,,,,,,,1
CapacityToActivityUnit,DDP70,ECU,STWW,,,,,,,,,,1
CapacityToActivityUnit,DDP70,ECU,T5TSWTSW,,,,,,,,,,1
CapacityToActivityUnit,DDP70,ECU,T5TWWTWW,,,,,,,,,,1
