PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,DDP70,ECU,INORG_RCY_OS,,,,,,,,,,20
OperationalLife,DDP70,ECU,AD,,,,,,,,,,20
OperationalLife,DDP70,ECU,COMPOST,,,,,,,,,,20
OperationalLife,DDP70,ECU,LANDFILL,,,,,,,,,,20
OperationalLife,DDP70,ECU,NO_CONTR_OD,,,,,,,,,,20
OperationalLife,DDP70,ECU,LANDFILL_ELEC,,,,,,,,,,100
OperationalLife,DDP70,ECU,WWWOT,,,,,,,,,,100
OperationalLife,DDP70,ECU,WWWT,,,,,,,,,,100
OperationalLife,DDP70,ECU,WFIRU,,,,,,,,,,100
OperationalLife,DDP70,ECU,OSS_INORG,,,,,,,,,,100
OperationalLife,DDP70,ECU,OSS_ORG,,,,,,,,,,100
OperationalLife,DDP70,ECU,NO_OSS_BLEND,,,,,,,,,,100
OperationalLife,DDP70,ECU,INORG_DCOLL,,,,,,,,,,100
OperationalLife,DDP70,ECU,ORG_DCOLL,,,,,,,,,,100
OperationalLife,DDP70,ECU,BLEND_NO_DCOLL,,,,,,,,,,100
OperationalLife,DDP70,ECU,INORG_SS,,,,,,,,,,100
OperationalLife,DDP70,ECU,ORG_SS,,,,,,,,,,100
OperationalLife,DDP70,ECU,NO_SS,,,,,,,,,,100
OperationalLife,DDP70,ECU,SEWERWWWOT,,,,,,,,,,100
OperationalLife,DDP70,ECU,SEWERWWWT,,,,,,,,,,20
OperationalLife,DDP70,ECU,WWWTFIRU,,,,,,,,,,20
OperationalLife,DDP70,ECU,TWWWOT,,,,,,,,,,100
OperationalLife,DDP70,ECU,SEWERWW,,,,,,,,,,100
OperationalLife,DDP70,ECU,STWW,,,,,,,,,,20
OperationalLife,DDP70,ECU,T5TSWTSW,,,,,,,,,,100
OperationalLife,DDP70,ECU,T5TWWTWW,,,,,,,,,,100
