PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2018,,,,,,5.3436477712
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2019,,,,,,5.2943645076
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2020,,,,,,5.30484929685
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2021,,,,,,5.0537885619
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2022,,,,,,5.3843806615999545
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2023,,,,,,5.707996763040001
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2024,,,,,,5.653815432693245
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2025,,,,,,5.582083037983064
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2026,,,,,,5.6237691531146
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2027,,,,,,5.664042565064968
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2028,,,,,,5.702866247656491
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2029,,,,,,5.740242475543732
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2030,,,,,,5.776110448771571
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2031,,,,,,5.811293450227122
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2032,,,,,,5.844934757854961
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2033,,,,,,5.876997658905117
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2034,,,,,,5.90747185936047
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2035,,,,,,5.936329325254053
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2036,,,,,,5.963560410614909
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2037,,,,,,5.989133125859103
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2038,,,,,,6.013045021732453
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2039,,,,,,6.035277831956674
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2040,,,,,,6.055824533069531
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2041,,,,,,6.074696266632086
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2042,,,,,,6.09189385330188
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2043,,,,,,6.107405866542083
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2044,,,,,,6.121244606127287
SpecifiedAnnualDemand,DDP70,ECU,,E5_TSWTSW,,,2045,,,,,,6.133399474965916
