PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,PA,ECU,INORG_RCY_OS,,,,,,,,,,20
OperationalLife,PA,ECU,AD,,,,,,,,,,20
OperationalLife,PA,ECU,COMPOST,,,,,,,,,,20
OperationalLife,PA,ECU,LANDFILL,,,,,,,,,,20
OperationalLife,PA,ECU,NO_CONTR_OD,,,,,,,,,,20
OperationalLife,PA,ECU,LANDFILL_ELEC,,,,,,,,,,100
OperationalLife,PA,ECU,WWWOT,,,,,,,,,,100
OperationalLife,PA,ECU,WWWT,,,,,,,,,,100
OperationalLife,PA,ECU,WFIRU,,,,,,,,,,100
OperationalLife,PA,ECU,OSS_INORG,,,,,,,,,,100
OperationalLife,PA,ECU,OSS_ORG,,,,,,,,,,100
OperationalLife,PA,ECU,NO_OSS_BLEND,,,,,,,,,,100
OperationalLife,PA,ECU,INORG_DCOLL,,,,,,,,,,100
OperationalLife,PA,ECU,ORG_DCOLL,,,,,,,,,,100
OperationalLife,PA,ECU,BLEND_NO_DCOLL,,,,,,,,,,100
OperationalLife,PA,ECU,INORG_SS,,,,,,,,,,100
OperationalLife,PA,ECU,ORG_SS,,,,,,,,,,100
OperationalLife,PA,ECU,NO_SS,,,,,,,,,,100
OperationalLife,PA,ECU,SEWERWWWOT,,,,,,,,,,100
OperationalLife,PA,ECU,SEWERWWWT,,,,,,,,,,20
OperationalLife,PA,ECU,WWWTFIRU,,,,,,,,,,20
OperationalLife,PA,ECU,TWWWOT,,,,,,,,,,100
OperationalLife,PA,ECU,SEWERWW,,,,,,,,,,100
OperationalLife,PA,ECU,STWW,,,,,,,,,,20
OperationalLife,PA,ECU,T5TSWTSW,,,,,,,,,,100
OperationalLife,PA,ECU,T5TWWTWW,,,,,,,,,,100
