PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2018,,,,,,5.3436477712
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2019,,,,,,5.2943645076
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2020,,,,,,5.30484929685
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2021,,,,,,5.0537885619
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2022,,,,,,5.377814343720018
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2023,,,,,,5.707996763040001
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2024,,,,,,5.781411327120001
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2025,,,,,,5.8541306538
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2026,,,,,,5.845953912703994
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2027,,,,,,5.835049698742009
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2028,,,,,,5.821401641664
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2029,,,,,,5.805034938442016
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2030,,,,,,5.785911964000001
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2031,,,,,,5.837878970582498
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2032,,,,,,5.888656098699998
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2033,,,,,,5.938197921547497
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2034,,,,,,5.986485188659997
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2035,,,,,,6.033480325112496
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2036,,,,,,6.079163984809996
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2037,,,,,,6.123493672809999
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2038,,,,,,6.1664566015199975
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2039,,,,,,6.208023479872497
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2040,,,,,,6.248176178499998
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2041,,,,,,6.286915061124997
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2042,,,,,,6.324229695499997
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2043,,,,,,6.360096678372496
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2044,,,,,,6.394517009294999
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2045,,,,,,6.427467614062499
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2046,,,,,,6.458948311999999
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2047,,,,,,6.488973681572498
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2048,,,,,,6.517514796164997
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2049,,,,,,6.544590320052497
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2050,,,,,,6.570221642599996
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2051,,,,,,6.592334399515829
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2052,,,,,,6.612693379901663
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2053,,,,,,6.631281304221985
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2054,,,,,,6.648082307025236
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2055,,,,,,6.663081959431264
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2056,,,,,,6.676267289705613
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2057,,,,,,6.687626801879754
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2058,,,,,,6.697150492379981
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2059,,,,,,6.704829864631429
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2060,,,,,,6.710657941607544
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2061,,,,,,6.714629276299154
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2062,,,,,,6.716739960081408
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2063,,,,,,6.716987628960712
SpecifiedAnnualDemand,PA,ECU,,E5_TSWTSW,,,2064,,,,,,6.715371467687999
