Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,Capex2023,FixedOpex2023,VarOpex2023,Opex2023,Externalities2023,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
BAU,0,,INORG_RCY_OS,,2018,,0.0023,0.0023,0.0592,0.0569,,,,,,,,,,,0.12021099999999998,,,,0.123473,0.12021099999999998,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2019,,,0.0023,0.0563,0.0563,,,,,,,,,,,0.11274300000000001,,,,0.122171,0.11274300000000001,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2020,,0.0029,0.0052,0.0564,0.0564,,,,,,,,,,,0.107055,,,,0.12238800000000001,0.107055,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2021,,0.0006,0.0058,0.0541,0.0541,,,,,,,,,,,0.097336,,,,0.117397,0.097336,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2022,,0.006,0.0118,0.0573,0.0573,,,,,,,,,,,0.0977188,,,,0.12434100000000001,0.0977188,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2023,,0.0062,0.018000000000000002,0.0606,0.0606,,,,,,,,,,,0.09795889999999999,,,,0.131502,0.09795889999999999,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2024,,0.0062,0.0242,0.064,0.064,,,,,,,,,,,0.0980615,,,,0.13888,0.0980615,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2025,,0.0062,0.0304,0.0674,0.0674,,,,,,,,,,,0.09788730000000001,,,,0.146258,0.09788730000000001,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2026,,0.0064,0.0368,0.0709,0.0709,,,,,,,,,,,0.0976023,,,,0.153853,0.0976023,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2027,,0.0064,0.0432,0.0745,0.0745,,,,,,,,,,,0.0972115,,,,0.161665,0.0972115,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2028,,0.0065,0.0497,0.0781,0.0781,,,,,,,,,,,0.0965962,,,,0.169477,0.0965962,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2029,,0.0064,0.0561,0.0817,0.0817,,,,,,,,,,,0.0957808,,,,0.177289,0.0957808,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2030,,0.0066,0.0627,0.0854,0.0854,,,,,,,,,,,0.094899,,,,0.185318,0.094899,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2031,,0.0045,0.0672,0.0871,0.0871,,,,,,,,,,,0.0917423,,,,0.18900699999999998,0.0917423,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2032,,0.0181,0.0853,0.1024,0.0888,,,,,,,,,,,0.0886568,,,,0.192696,0.0886568,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2033,,,0.0853,0.0995,0.0904,,,,,,,,,,,0.085549,,,,0.196168,0.085549,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2034,,,0.0853,0.0967,0.0921,,,,,,,,,,,0.08261399999999999,,,,0.199857,0.08261399999999999,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2035,,,0.0853,0.0938,0.0938,,,,,,,,,,,0.0797525,,,,0.203546,0.0797525,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2036,,0.0396,0.1249,0.1306,0.0954,,,,,,,,,,,0.0768843,,,,0.20701799999999998,0.0768843,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2037,,,0.1249,0.1277,0.0971,,,,,,,,,,,0.0741747,,,,0.210707,0.0741747,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2038,,,0.1226,0.1226,0.0987,,,,,,,,,,,0.0714663,,,,0.214179,0.0714663,,,,,,,,,,,
BAU,0,,INORG_RCY_OS,,2039,,,0.1226,0.1226,0.1004,,,,,,,,,,,0.0689074,,,,0.21786799999999998,0.0689074,,,,,,,,,,,
