Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2023,FixedOpex2023,VarOpex2023,Opex2023,Externalities2023,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
DDP,943,,INORG_RCY_OS,,2018,,0.00233204,0.00233204,0.059232,0.0568564,,,,,,,,,,,0.121704,,,,0.123378,0.121704,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2019,,,0.00233204,0.056332,0.056332,,,,,,,,,,,0.117332,,,,0.122241,0.117332,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2020,,0.00291156,0.0052436,0.0564436,0.0564436,,,,,,,,,,,0.114395,,,,0.122483,0.114395,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2021,,0.000228714,0.00547231,0.0537723,0.0537723,,,,,,,,,,,0.106044,,,,0.116686,0.106044,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2022,,0.00624763,0.0117199,0.0572199,0.0572199,,,,,,,,,,,0.109802,,,,0.124167,0.109802,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2023,,0.00641314,0.0181331,0.0607331,0.0607331,,,,,,,,,,,0.113402,,,,0.131791,0.113402,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2024,,0.0865521,0.104685,0.144485,0.144485,,,,,,,,,,,0.262513,,,,0.313533,0.262513,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2025,,1.26159,1.36627,1.40327,0.208588,,,,,,,,,,,0.368766,,,,0.452635,0.368766,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2026,,,1.36627,1.40037,0.272377,,,,,,,,,,,0.468561,,,,0.591058,0.468561,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2027,,,1.36627,1.39757,0.335983,,,,,,,,,,,0.562402,,,,0.729084,0.562402,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2028,,,1.36627,1.39467,0.399474,,,,,,,,,,,0.650657,,,,0.866859,0.650657,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2029,,,1.36627,1.39187,0.462887,,,,,,,,,,,0.733622,,,,1.00447,0.733622,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2030,,,1.36627,1.38897,0.526246,,,,,,,,,,,0.811557,,,,1.14195,0.811557,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2031,,,1.36627,1.38617,0.589564,,,,,,,,,,,0.884697,,,,1.27935,0.884697,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2032,,,1.36627,1.38337,0.652852,,,,,,,,,,,0.953262,,,,1.41669,0.953262,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2033,,,1.36627,1.38047,0.716116,,,,,,,,,,,1.01745,,,,1.55397,1.01745,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2034,,,1.36627,1.37767,0.779362,,,,,,,,,,,1.07747,,,,1.69122,1.07747,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2035,,,1.36627,1.37477,0.842593,,,,,,,,,,,1.13349,,,,1.82843,1.13349,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2036,,,1.36627,1.37197,0.905813,,,,,,,,,,,1.18569,,,,1.96561,1.18569,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2037,,,1.36627,1.36907,0.969022,,,,,,,,,,,1.23424,,,,2.10278,1.23424,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2038,,,1.36394,1.36394,1.03222,,,,,,,,,,,1.2793,,,,2.23992,1.2793,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2039,,,1.36394,1.36394,1.09542,,,,,,,,,,,1.32103,,,,2.37705,1.32103,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2040,,,1.36103,1.36103,1.1586,,,,,,,,,,,1.35957,,,,2.51417,1.35957,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2041,,,1.3608,1.3608,1.22179,,,,,,,,,,,1.39507,,,,2.65128,1.39507,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2042,,,1.35455,1.35455,1.28497,,,,,,,,,,,1.42766,,,,2.78838,1.42766,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2043,,,1.34814,1.34814,1.34814,,,,,,,,,,,1.45748,,,,2.92547,1.45748,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2044,,1.53765,2.79923,2.79923,1.41131,,,,,,,,,,,1.48465,,,,3.06255,1.48465,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2045,,,1.53765,1.53765,1.47448,,,,,,,,,,,1.50929,,,,3.19962,1.50929,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2046,,,1.53765,1.53765,1.53765,,,,,,,,,,,1.53153,,,,3.33669,1.53153,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2047,,0.0631633,1.60081,1.60081,1.60081,,,,,,,,,,,1.55146,,,,3.47376,1.55146,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2048,,0.0631612,1.66397,1.66397,1.66397,,,,,,,,,,,1.56921,,,,3.61082,1.56921,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2049,,0.0631593,1.72713,1.72713,1.72713,,,,,,,,,,,1.58487,,,,3.74787,1.58487,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2050,,1.72713,3.45426,3.45426,1.79029,,,,,,,,,,,1.59855,,,,3.88492,1.59855,,,,,,,,,,,,,,,,,
DDP,943,,INORG_RCY_OS,,2051,,,3.45426,3.45426,1.79029,,,,,,,,,,,1.55546,,,,3.88492,1.55546,,,,,,,,,,,,,,,,,
