Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,Capex2023,FixedOpex2023,VarOpex2023,Opex2023,Externalities2023,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
PA,0,,INORG_RCY_OS,,2018,,0.00233204,0.00233204,0.059232,0.0568564,,,,,,,,,,,0.120119,,,,0.123378,0.120119,,,,,,,,,,,
PA,0,,INORG_RCY_OS,,2019,,,0.00233204,0.056332,0.056332,,,,,,,,,,,0.112807,,,,0.122241,0.112807,,,,,,,,,,,
PA,0,,INORG_RCY_OS,,2020,,0.00291156,0.0052436,0.0564436,0.0564436,,,,,,,,,,,0.107138,,,,0.122483,0.107138,,,,,,,,,,,
PA,0,,INORG_RCY_OS,,2021,,0.000228714,0.00547231,0.0537723,0.0537723,,,,,,,,,,,0.0967464,,,,0.116686,0.0967464,,,,,,,,,,,
PA,0,,INORG_RCY_OS,,2022,,0.00624763,0.0117199,0.0572199,0.0572199,,,,,,,,,,,0.0975823,,,,0.124167,0.0975823,,,,,,,,,,,
PA,0,,INORG_RCY_OS,,2023,,0.00641314,0.0181331,0.0607331,0.0607331,,,,,,,,,,,0.098174,,,,0.131791,0.098174,,,,,,,,,,,
PA,0,,INORG_RCY_OS,,2024,,0.0334218,0.0515549,0.0913549,0.0913549,,,,,,,,,,,0.139975,,,,0.19824,0.139975,,,,,,,,,,,
PA,0,,INORG_RCY_OS,,2025,,0.0341651,0.0857199,0.12272,0.12272,,,,,,,,,,,0.17823,,,,0.266302,0.17823,,,,,,,,,,,
PA,0,,INORG_RCY_OS,,2026,,0.0329024,0.118622,0.152722,0.152722,,,,,,,,,,,0.21024,,,,0.331407,0.21024,,,,,,,,,,,
PA,0,,INORG_RCY_OS,,2027,,0.0326326,0.151255,0.182555,0.182555,,,,,,,,,,,0.238207,,,,0.396144,0.238207,,,,,,,,,,,
PA,0,,INORG_RCY_OS,,2028,,0.0325201,0.183775,0.212175,0.212175,,,,,,,,,,,0.262424,,,,0.46042,0.262424,,,,,,,,,,,
PA,0,,INORG_RCY_OS,,2029,,0.0641342,0.247909,0.273509,0.241541,,,,,,,,,,,0.28317,,,,0.524144,0.28317,,,,,,,,,,,
PA,0,,INORG_RCY_OS,,2030,,,0.247909,0.270609,0.270609,,,,,,,,,,,0.300709,,,,0.587222,0.300709,,,,,,,,,,,
PA,0,,INORG_RCY_OS,,2031,,0.0353626,0.283272,0.303172,0.303172,,,,,,,,,,,0.319331,,,,0.657883,0.319331,,,,,,,,,,,
PA,0,,INORG_RCY_OS,,2032,,0.146125,0.429397,0.446497,0.336203,,,,,,,,,,,0.335661,,,,0.729561,0.335661,,,,,,,,,,,
PA,0,,INORG_RCY_OS,,2033,,,0.429397,0.443597,0.369681,,,,,,,,,,,0.349844,,,,0.802209,0.349844,,,,,,,,,,,
PA,0,,INORG_RCY_OS,,2034,,,0.429397,0.440797,0.403587,,,,,,,,,,,0.362019,,,,0.875783,0.362019,,,,,,,,,,,
PA,0,,INORG_RCY_OS,,2035,,,0.429397,0.437897,0.437897,,,,,,,,,,,0.372317,,,,0.950236,0.372317,,,,,,,,,,,
PA,0,,INORG_RCY_OS,,2036,,0.115967,0.545364,0.551064,0.47259,,,,,,,,,,,0.380867,,,,1.02552,0.380867,,,,,,,,,,,
PA,0,,INORG_RCY_OS,,2037,,,0.545364,0.548164,0.507642,,,,,,,,,,,0.387788,,,,1.10158,0.387788,,,,,,,,,,,
PA,0,,INORG_RCY_OS,,2038,,,0.543032,0.543032,0.543032,,,,,,,,,,,0.393196,,,,1.17838,0.393196,,,,,,,,,,,
