PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,BAU,ECU,INORG_RCY_OS,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,AD,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,COMPOST,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,LANDFILL,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,NO_CONTR_OD,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,LANDFILL_ELEC,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,WWWOT,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,WWWT,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,WFIRU,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,OSS_INORG,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,OSS_ORG,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,NO_OSS_BLEND,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,INORG_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,ORG_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,BLEND_NO_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,INORG_SS,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,ORG_SS,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,NO_SS,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,SEWERWWWOT,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,SEWERWWWT,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,WWWTFIRU,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,TWWWOT,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,SEWERWW,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,STWW,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,T5TSWTSW,,,,,,,,,,1
CapacityToActivityUnit,BAU,ECU,T5TWWTWW,,,,,,,,,,1
