PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2018,,,,,,5.3436
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2019,,,,,,5.2944
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2020,,,,,,5.3048
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2021,,,,,,5.0538
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2022,,,,,,5.3778
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2023,,,,,,5.708
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2024,,,,,,5.4851
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2025,,,,,,5.4693
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2026,,,,,,5.4534
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2027,,,,,,5.4376
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2028,,,,,,5.4218
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2029,,,,,,5.4059
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2030,,,,,,5.3901
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2031,,,,,,5.3742
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2032,,,,,,5.3584
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2033,,,,,,5.3425
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2034,,,,,,5.3267
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2035,,,,,,5.3109
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2036,,,,,,5.295
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2037,,,,,,5.2792
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2038,,,,,,5.2633
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2039,,,,,,5.2475
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2040,,,,,,5.2316
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2041,,,,,,5.2158
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2042,,,,,,5.1999
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2043,,,,,,5.1841
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2044,,,,,,5.1683
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2045,,,,,,5.1524
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2046,,,,,,5.1366
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2047,,,,,,5.1207
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2048,,,,,,5.1049
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2049,,,,,,5.089
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2050,,,,,,5.0732
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2051,,,,,,5.0574
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2052,,,,,,5.0415
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2053,,,,,,5.0257
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2054,,,,,,5.0098
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2055,,,,,,4.994
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2056,,,,,,4.9781
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2057,,,,,,4.9623
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2058,,,,,,4.9465
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2059,,,,,,4.9306
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2060,,,,,,4.9148
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2061,,,,,,4.8989
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2062,,,,,,4.8831
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2063,,,,,,4.8672
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2064,,,,,,4.8514
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2065,,,,,,4.8355
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2066,,,,,,4.8197
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2067,,,,,,4.8039
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2068,,,,,,4.788
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2069,,,,,,4.7722
SpecifiedAnnualDemand,DDP,ECU,,E5_TSWTSW,,,2070,,,,,,4.7563
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2018,,,,,,4.0448
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2019,,,,,,4.0076
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2020,,,,,,4.0576
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2021,,,,,,4.1197
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2022,,,,,,4.463
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2023,,,,,,4.468075104842934
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2024,,,,,,4.5846396093367785
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2025,,,,,,4.704245084134149
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2026,,,,,,4.826970862994791
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2027,,,,,,4.952898349361616
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2028,,,,,,5.0821110703554835
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2029,,,,,,5.21469473217809
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2030,,,,,,5.350737276960776
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2031,,,,,,5.490328941095846
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2032,,,,,,5.6335623150902485
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2033,,,,,,5.78053240498013
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2034,,,,,,5.931336695348209
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2035,,,,,,6.0860752139845316
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2036,,,,,,6.244850598234773
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2037,,,,,,6.407768163078774
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2038,,,,,,6.574935970985837
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2039,,,,,,6.746464903591693
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2040,,,,,,6.922468735246156
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2041,,,,,,7.103064208478748
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2042,,,,,,7.288371111433861
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2043,,,,,,7.478512357325286
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2044,,,,,,7.6736140659643945
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2045,,,,,,7.873805647414394
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2046,,,,,,8.079219887827875
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2047,,,,,,8.289993037522795
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2048,,,,,,8.50626490135715
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2049,,,,,,8.728178931460485
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2050,,,,,,8.955882322385197
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2051,,,,,,9.189526108740194
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2052,,,,,,9.429265265371024
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2053,,,,,,9.675258810154471
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2054,,,,,,9.92766990947387
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2055,,,,,,10.186665986447144
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2056,,,,,,10.452418831977237
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2057,,,,,,10.725104718700797
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2058,,,,,,11.004904517908413
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2059,,,,,,11.292003819516315
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2060,,,,,,11.586593055166691
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2061,,,,,,11.888867624540742
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2062,,,,,,12.199028024965754
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2063,,,,,,12.517279984404704
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2064,,,,,,12.84383459791399
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2065,,,,,,13.178908467662508
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2066,,,,,,13.522723846602156
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2067,,,,,,13.875508785887925
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2068,,,,,,14.237497286142423
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2069,,,,,,14.608929452668189
SpecifiedAnnualDemand,DDP,ECU,,E5_TWWTWW,,,2070,,,,,,15.0
