PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2018,,,,,,0.0568564122855679
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2019,,,,,,0.056332038360864
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2020,,,,,,0.056443596518484
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2021,,,,,,0.053772310298616
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2022,,,,,,0.0572898102394235
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2023,,,,,,0.0607330855587456
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2024,,,,,,0.0889501549691628
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2025,,,,,,0.1162498484591084
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2026,,,,,,0.1457585240757065
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2027,,,,,,0.1756479855198609
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2028,,,,,,0.2058953123047583
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2029,,,,,,0.2364784487414241
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2030,,,,,,0.2673724657946258
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2031,,,,,,0.2985966219268153
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2032,,,,,,0.3300920686482923
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2033,,,,,,0.3618329911834161
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2034,,,,,,0.393794587962778
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2035,,,,,,0.425950574818871
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2036,,,,,,0.4582755095455855
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2037,,,,,,0.4907419226310289
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2038,,,,,,0.5233242638403479
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2039,,,,,,0.5559954759131769
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2040,,,,,,0.5887292224787481
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2041,,,,,,0.6215008825505657
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2042,,,,,,0.6542849536161631
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2043,,,,,,0.6870545721287341
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2044,,,,,,0.7197854317022878
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2045,,,,,,0.7524506675032665
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2046,,,,,,0.7850260283165517
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2047,,,,,,0.8174893698919484
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2048,,,,,,0.8498133856947133
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2049,,,,,,0.8819769293770516
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2050,,,,,,0.913959818886046
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2051,,,,,,0.9454419374715198
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2052,,,,,,0.976634958124892
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2053,,,,,,1.0075104223706095
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2054,,,,,,1.038040129222448
TotalTechnologyAnnualActivityLowerLimit,DDP70,ECU,INORG_RCY_OS,,,,2055,,,,,,1.0681961773915531
