PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,PA,ECU,INORG_RCY_OS,,,,,,,,,,1
CapacityToActivityUnit,PA,ECU,AD,,,,,,,,,,1
CapacityToActivityUnit,PA,ECU,COMPOST,,,,,,,,,,1
CapacityToActivityUnit,PA,ECU,LANDFILL,,,,,,,,,,1
CapacityToActivityUnit,PA,ECU,NO_CONTR_OD,,,,,,,,,,1
CapacityToActivityUnit,PA,ECU,LANDFILL_ELEC,,,,,,,,,,1
CapacityToActivityUnit,PA,ECU,WWWOT,,,,,,,,,,1
CapacityToActivityUnit,PA,ECU,WWWT,,,,,,,,,,1
CapacityToActivityUnit,PA,ECU,WFIRU,,,,,,,,,,1
CapacityToActivityUnit,PA,ECU,OSS_INORG,,,,,,,,,,1
CapacityToActivityUnit,PA,ECU,OSS_ORG,,,,,,,,,,1
CapacityToActivityUnit,PA,ECU,NO_OSS_BLEND,,,,,,,,,,1
CapacityToActivityUnit,PA,ECU,INORG_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,PA,ECU,ORG_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,PA,ECU,BLEND_NO_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,PA,ECU,INORG_SS,,,,,,,,,,1
CapacityToActivityUnit,PA,ECU,ORG_SS,,,,,,,,,,1
CapacityToActivityUnit,PA,ECU,NO_SS,,,,,,,,,,1
CapacityToActivityUnit,PA,ECU,SEWERWWWOT,,,,,,,,,,1
CapacityToActivityUnit,PA,ECU,SEWERWWWT,,,,,,,,,,1
CapacityToActivityUnit,PA,ECU,WWWTFIRU,,,,,,,,,,1
CapacityToActivityUnit,PA,ECU,TWWWOT,,,,,,,,,,1
CapacityToActivityUnit,PA,ECU,SEWERWW,,,,,,,,,,1
CapacityToActivityUnit,PA,ECU,STWW,,,,,,,,,,1
CapacityToActivityUnit,PA,ECU,T5TSWTSW,,,,,,,,,,1
CapacityToActivityUnit,PA,ECU,T5TWWTWW,,,,,,,,,,1
