PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2018,,,,,,0.0568564122855679
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2019,,,,,,0.056332038360864
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2020,,,,,,0.056443596518484
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2021,,,,,,0.053772310298616
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2022,,,,,,0.0572199446171809
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2023,,,,,,0.0607330855587456
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2024,,,,,,0.0913548640223168
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2025,,,,,,0.1227199240759588
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2026,,,,,,0.1527222982172217
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2027,,,,,,0.1825549326489428
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2028,,,,,,0.2121749973158824
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2029,,,,,,0.2415410537497564
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2030,,,,,,0.2706092454866421
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2031,,,,,,0.3031718658293371
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2032,,,,,,0.336203005528451
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2033,,,,,,0.3696814119396639
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2034,,,,,,0.4035866592520876
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2035,,,,,,0.4378965942626056
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2036,,,,,,0.4725897050946926
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2037,,,,,,0.5076421613971852
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2038,,,,,,0.5430318715667408
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2039,,,,,,0.5787349414732672
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2040,,,,,,0.6147279703913833
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2041,,,,,,0.6509890981959551
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2042,,,,,,0.6874952986613306
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2043,,,,,,0.7242218531749132
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2044,,,,,,0.7611464646352828
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2045,,,,,,0.7982438667953473
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2046,,,,,,0.8354912783910642
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2047,,,,,,0.8728678997621042
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2048,,,,,,0.9103471555733768
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2049,,,,,,0.9479087662670426
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2050,,,,,,0.9855332463899994
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2051,,,,,,0.9888501599273744
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2052,,,,,,0.9919040069852494
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2053,,,,,,0.9946921956332976
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2054,,,,,,0.9972123460537854
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2055,,,,,,0.9994622939146895
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2056,,,,,,1.0014400934558418
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2057,,,,,,1.003144020281963
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2058,,,,,,1.004572573856997
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2059,,,,,,1.0057244796947142
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2060,,,,,,1.0065986912411315
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2061,,,,,,1.007194391444873
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2062,,,,,,1.0075109940122111
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2063,,,,,,1.0075481443441068
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2064,,,,,,1.0073057201532
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2065,,,,,,1.0067838317593114
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2066,,,,,,1.0059828220626383
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2067,,,,,,1.004903266194454
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2068,,,,,,1.0035459708457422
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2069,,,,,,1.001911973274832
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,INORG_RCY_OS,,,,2070,,,,,,1.0000025399957049
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,AD,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,AD,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,AD,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,AD,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,AD,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,AD,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,AD,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,AD,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,AD,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,AD,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,AD,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,AD,,,,2029,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,AD,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,PA,ECU,AD,,,,2031,,,,,,0.0
