PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2018,,,,,,0.0569
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2019,,,,,,0.0563
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2020,,,,,,0.0564
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2021,,,,,,0.0541
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2022,,,,,,0.0573
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2023,,,,,,0.0606
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2024,,,,,,0.064
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2025,,,,,,0.0674
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2026,,,,,,0.0709
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2027,,,,,,0.0745
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2028,,,,,,0.0781
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2029,,,,,,0.0817
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2030,,,,,,0.0854
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2031,,,,,,0.0871
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2032,,,,,,0.0888
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2033,,,,,,0.0904
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2034,,,,,,0.0921
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2035,,,,,,0.0938
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2036,,,,,,0.0954
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2037,,,,,,0.0971
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2038,,,,,,0.0987
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2039,,,,,,0.1004
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2040,,,,,,0.102
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2041,,,,,,0.1037
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2042,,,,,,0.1053
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2043,,,,,,0.1069
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2044,,,,,,0.1086
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2045,,,,,,0.1102
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2046,,,,,,0.1118
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2047,,,,,,0.1133
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2048,,,,,,0.1149
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2049,,,,,,0.1165
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2050,,,,,,0.118
TotalTechnologyAnnualActivityLowerLimit,BAU,ECU,INORG_RCY_OS,,,,2051,,,,,,0.1187
