PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2018,,,,,,0.056855904
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2019,,,,,,0.056332416
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2020,,,,,,0.056443072
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2021,,,,,,0.053772432
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2022,,,,,,0.057219792
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2023,,,,,,0.06073312
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2024,,,,,,0.135062066835958
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2025,,,,,,0.1923020044940069
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2026,,,,,,0.251525907755658
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2027,,,,,,0.3073888869649919
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2028,,,,,,0.362878535459022
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2029,,,,,,0.4181156906259839
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2030,,,,,,0.4731747366309031
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2031,,,,,,0.528104606944746
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2032,,,,,,0.582937543952096
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2033,,,,,,0.637691522557775
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2034,,,,,,0.692388350070528
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2035,,,,,,0.7470362967127201
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2036,,,,,,0.8016460916353499
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2037,,,,,,0.8562246487350241
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2038,,,,,,0.910774692147488
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2039,,,,,,0.9653025518843998
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2040,,,,,,1.019808635449384
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2041,,,,,,1.074300823898778
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2042,,,,,,1.128780217066677
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2043,,,,,,1.18324136946221
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2044,,,,,,1.2376976051994322
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2045,,,,,,1.292141003155244
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2046,,,,,,1.3465773784471258
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2047,,,,,,1.401009452822616
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2048,,,,,,1.4554297148707418
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2049,,,,,,1.5098411867539
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2050,,,,,,1.564251233328916
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2051,,,,,,1.5642512371858202
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2052,,,,,,1.564251241089
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2053,,,,,,1.5642512449910309
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2054,,,,,,1.56425124897544
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2055,,,,,,1.5642543851552198
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2056,,,,,,1.5642512569043132
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2057,,,,,,1.564254413179227
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2058,,,,,,1.564254427283795
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2059,,,,,,1.5642512689958898
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2060,,,,,,1.56425127309352
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2061,,,,,,1.5642512772388182
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2062,,,,,,1.564254484746573
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2063,,,,,,1.5642512855648645
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2064,,,,,,1.5642512897484662
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2065,,,,,,1.5642503235033849
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2066,,,,,,1.5642519473055592
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2067,,,,,,1.5642506512346308
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2068,,,,,,1.5642500000148
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2069,,,,,,1.5642506555733058
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,INORG_RCY_OS,,,,2070,,,,,,1.5642523021493902
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2029,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2031,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2032,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2033,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2034,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2035,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2036,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2037,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2038,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2039,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2040,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2041,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2042,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2043,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2044,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2045,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2046,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2047,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2048,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2049,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2050,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2051,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2052,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2053,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2054,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2055,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2056,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,DDP,ECU,AD,,,,2057,,,,,,0.0
