Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,Capex2023,FixedOpex2023,VarOpex2023,Opex2023,Externalities2023,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
DDP70,0,,INORG_RCY_OS,,2018,,0.00233204,0.00233204,0.059232,0.0568564,,,,,,,,,,,0.120119,,,,0.123378,0.120119,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2019,,,0.00233204,0.056332,0.056332,,,,,,,,,,,0.112807,,,,0.122241,0.112807,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2020,,0.00291156,0.0052436,0.0564436,0.0564436,,,,,,,,,,,0.107138,,,,0.122483,0.107138,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2021,,0.000228714,0.00547231,0.0537723,0.0537723,,,,,,,,,,,0.0967464,,,,0.116686,0.0967464,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2022,,0.0063175,0.0117898,0.0572898,0.0572898,,,,,,,,,,,0.0977015,,,,0.124319,0.0977015,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2023,,0.00634328,0.0181331,0.0607331,0.0607331,,,,,,,,,,,0.098174,,,,0.131791,0.098174,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2024,,0.0310171,0.0491502,0.0889502,0.0889502,,,,,,,,,,,0.13629,,,,0.193022,0.13629,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2025,,0.656038,0.705188,0.742188,0.11625,,,,,,,,,,,0.168834,,,,0.252262,0.168834,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2026,,,0.705188,0.739288,0.145759,,,,,,,,,,,0.200654,,,,0.316296,0.200654,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2027,,,0.705188,0.736488,0.175648,,,,,,,,,,,0.229195,,,,0.381156,0.229195,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2028,,,0.705188,0.733588,0.205895,,,,,,,,,,,0.254657,,,,0.446793,0.254657,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2029,,,0.705188,0.730788,0.236478,,,,,,,,,,,0.277235,,,,0.513158,0.277235,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2030,,,0.705188,0.727888,0.267372,,,,,,,,,,,0.297112,,,,0.580198,0.297112,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2031,,,0.705188,0.725088,0.298597,,,,,,,,,,,0.314511,,,,0.647955,0.314511,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2032,,,0.705188,0.722288,0.330092,,,,,,,,,,,0.32956,,,,0.7163,0.32956,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2033,,,0.705188,0.719388,0.361833,,,,,,,,,,,0.342417,,,,0.785178,0.342417,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2034,,,0.705188,0.716588,0.393795,,,,,,,,,,,0.353235,,,,0.854534,0.353235,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2035,,,0.705188,0.713688,0.425951,,,,,,,,,,,0.36216,,,,0.924313,0.36216,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2036,,,0.705188,0.710888,0.458276,,,,,,,,,,,0.369331,,,,0.994458,0.369331,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2037,,,0.705188,0.707988,0.490742,,,,,,,,,,,0.374878,,,,1.06491,0.374878,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2038,,,0.702856,0.702856,0.523324,,,,,,,,,,,0.378927,,,,1.13561,0.378927,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2039,,,0.702856,0.702856,0.555995,,,,,,,,,,,0.381595,,,,1.20651,0.381595,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2040,,,0.699944,0.699944,0.588729,,,,,,,,,,,0.382997,,,,1.27754,0.382997,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2041,,,0.699715,0.699715,0.621501,,,,,,,,,,,0.383238,,,,1.34866,0.383238,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2042,,,0.693398,0.693398,0.654285,,,,,,,,,,,0.382421,,,,1.4198,0.382421,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2043,,,0.687055,0.687055,0.687055,,,,,,,,,,,0.380639,,,,1.49091,0.380639,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2044,,0.752451,1.40849,1.40849,0.719785,,,,,,,,,,,0.377983,,,,1.56193,0.377983,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2045,,,0.752451,0.752451,0.752451,,,,,,,,,,,0.374537,,,,1.63282,0.374537,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2046,,0.0325754,0.785026,0.785026,0.785026,,,,,,,,,,,0.370381,,,,1.70351,0.370381,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2047,,0.0324633,0.817489,0.817489,0.817489,,,,,,,,,,,0.36559,,,,1.77395,0.36559,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2048,,0.032324,0.849813,0.849813,0.849813,,,,,,,,,,,0.360233,,,,1.8441,0.360233,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2049,,0.0321635,0.881977,0.881977,0.881977,,,,,,,,,,,0.354376,,,,1.91389,0.354376,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2050,,1.38216,2.26414,2.26414,0.91396,,,,,,,,,,,0.348082,,,,1.98329,0.348082,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2051,,,2.26414,2.26414,0.945442,,,,,,,,,,,0.341301,,,,2.05161,0.341301,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2052,,,2.26414,2.26414,0.976635,,,,,,,,,,,0.334181,,,,2.1193,0.334181,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2053,,,2.26414,2.26414,1.00751,,,,,,,,,,,0.326774,,,,2.1863,0.326774,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2054,,,2.26414,2.26414,1.03804,,,,,,,,,,,0.319124,,,,2.25255,0.319124,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2055,,,2.26414,2.26414,1.0682,,,,,,,,,,,0.311274,,,,2.31799,0.311274,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2056,,,2.26414,2.26414,1.09795,,,,,,,,,,,0.303265,,,,2.38255,0.303265,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2057,,,2.26414,2.26414,1.12728,,,,,,,,,,,0.295133,,,,2.44619,0.295133,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2058,,,2.26414,2.26414,1.15615,,,,,,,,,,,0.286912,,,,2.50884,0.286912,,,,,,,,,,,
DDP70,0,,INORG_RCY_OS,,2059,,,2.26414,2.26414,1.18454,,,,,,,,,,,0.278633,,,,2.57045,0.278633,,,,,,,,,,,
