Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,Capex2023,FixedOpex2023,VarOpex2023,Opex2023,Externalities2023,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
DDP,0,,INORG_RCY_OS,,2018,,0.0117197,0.0117197,0.0686197,0.0568559,,,,,,,,,,,0.120118,,,,0.123377,0.120118,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2019,,,0.0117197,0.0657197,0.056332,,,,,,,,,,,0.112807,,,,0.12224,0.112807,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2020,,,0.0117197,0.0629197,0.056443,,,,,,,,,,,0.107137,,,,0.122481,0.107137,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2021,,,0.0117197,0.0600197,0.0537723,,,,,,,,,,,0.0967464,,,,0.116686,0.0967464,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2022,,,0.0117197,0.0572197,0.0572197,,,,,,,,,,,0.0975819,,,,0.124167,0.0975819,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2023,,0.00641335,0.0181331,0.0607331,0.0607331,,,,,,,,,,,0.098174,,,,0.131791,0.098174,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2024,,0.077129,0.0952621,0.135062,0.135062,,,,,,,,,,,0.206944,,,,0.293085,0.206944,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2025,,0.0600399,0.155302,0.192302,0.192302,,,,,,,,,,,0.279287,,,,0.417295,0.279287,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2026,,0.0621239,0.217426,0.251526,0.251526,,,,,,,,,,,0.346255,,,,0.545811,0.346255,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2027,,0.058663,0.276089,0.307389,0.307389,,,,,,,,,,,0.401097,,,,0.667034,0.401097,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2028,,0.0583896,0.334479,0.362879,0.362879,,,,,,,,,,,0.448818,,,,0.787446,0.448818,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2029,,0.0580372,0.392516,0.418116,0.418116,,,,,,,,,,,0.490177,,,,0.907311,0.490177,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2030,,0.346021,0.738536,0.761236,0.473175,,,,,,,,,,,0.525806,,,,1.02679,0.525806,,,,,,,,,,,
DDP,0,,INORG_RCY_OS,,2031,,,0.738536,0.758436,0.528105,,,,,,,,,,,0.556252,,,,1.14599,0.556252,,,,,,,,,,,
