Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,Capex2023,FixedOpex2023,VarOpex2023,Opex2023,Externalities2023,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2018,,,,,,,5.1607,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,COLL_BLEND,BLEND_NO_DCOLL,,2018,,,,,,,5.16068,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,0,COLL_BLEND,BLEND_NO_DCOLL,,2018,,,,,,,5.16064,,,,,,,,,,,,,,,,,,,,,,,,,
PA,0,COLL_BLEND,BLEND_NO_DCOLL,,2018,,,,,,,5.16068,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2019,,,,,,,5.11316,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,COLL_BLEND,BLEND_NO_DCOLL,,2019,,,,,,,5.11309,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,0,COLL_BLEND,BLEND_NO_DCOLL,,2019,,,,,,,5.11312,,,,,,,,,,,,,,,,,,,,,,,,,
PA,0,COLL_BLEND,BLEND_NO_DCOLL,,2019,,,,,,,5.11309,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2020,,,,,,,5.12325,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,COLL_BLEND,BLEND_NO_DCOLL,,2020,,,,,,,5.12321,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,0,COLL_BLEND,BLEND_NO_DCOLL,,2020,,,,,,,5.12316,,,,,,,,,,,,,,,,,,,,,,,,,
PA,0,COLL_BLEND,BLEND_NO_DCOLL,,2020,,,,,,,5.12321,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2021,,,,,,,4.907,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,COLL_BLEND,BLEND_NO_DCOLL,,2021,,,,,,,4.88075,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,0,COLL_BLEND,BLEND_NO_DCOLL,,2021,,,,,,,4.88076,,,,,,,,,,,,,,,,,,,,,,,,,
PA,0,COLL_BLEND,BLEND_NO_DCOLL,,2021,,,,,,,4.88075,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2022,,,,,,,5.20257,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,COLL_BLEND,BLEND_NO_DCOLL,,2022,,,,,,,5.20002,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,0,COLL_BLEND,BLEND_NO_DCOLL,,2022,,,,,,,5.19366,,,,,,,,,,,,,,,,,,,,,,,,,
PA,0,COLL_BLEND,BLEND_NO_DCOLL,,2022,,,,,,,5.19368,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2023,,,,,,,5.50355,,,,,,,,,,,,,,,,,,,,,,,,,
DDP70,0,COLL_BLEND,BLEND_NO_DCOLL,,2023,,,,,,,5.51255,,,,,,,,,,,,,,,,,,,,,,,,,
DDP,0,COLL_BLEND,BLEND_NO_DCOLL,,2023,,,,,,,5.51256,,,,,,,,,,,,,,,,,,,,,,,,,
PA,0,COLL_BLEND,BLEND_NO_DCOLL,,2023,,,,,,,5.51255,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,COLL_BLEND,BLEND_NO_DCOLL,,2024,,,,,,,5.8099,,,,,,,,,,,,,,,,,,,,,,,,,
